word,etymonline,emeaning,cmeaning
politic,"from polites ""citizen"" from polis ""city"" (see policy (n. 1)) => 政治的",suitably tactical,"adj. 合时宜的, 明智的"
novel,new // = unprecedented // F banal = hackneyed,new,adj. 新奇的
norm,,"a standard model, or pattern regarded as typical",
contain,"from com- ""together"" (see com-) + tenere ""to hold"" (see tenet)",,
protein,,,
notion,"from pp. stem of noscere ""come to know"" (see know)",,
contemporary,"from L. com- ""with"" (see com-) + temporarius ""of time,""",,
observant,"from ob ""over"" (see ob-) + servare ""to watch, keep safe"" from PIE root *ser- ""to protect"" => keep watching / serv- keep / conserve","1. paying close attentions
2. diligent in obseving a law","adj. 警惕的, 警觉的
adj. 严格遵守(规章、制度或原则)的"
aesthetic,"from root *au- ""to perceive"" (see audience)",,
affect,"from ad- ""to"" (see ad-) + facere (pp. factus) ""do"" (see factitious)",to put on a pretense of; to make a display of liking or using,
vent,"from L. ex- ""out"" + ventus ""wind"" (see wind (n.1))",,
composed,"from com- ""with"" (see com-) + poser ""to place,""",,
graze,,to eat grass that is growing in a field,
dioxide,,,
genre,"from Fr. genre ""kind, sort, style"" (see gender)",,
obscure,"from ob ""over"" (see ob-) + -scurus ""covered"" from PIE *(s)keu- ""to cover, conceal"" (see sky) => 天底下的 // = unfamous [infamous 臭名昭著] = anonymous = unknown // F legendary = prominent","1. not clearly veiled or uncertain meaning
2. famous","adj. 含义模糊的
adj. 平凡的, 不知名的"
underlie,,to form the basis or foundation of,
quantum,"from L. quantum ""how much,""",,
remnant,remain // remain // remainder,something left over,"n. 残余, 剩余物"
amendment,"from ex- ""out"" (see ex-) + menda ""fault, blemish,""",,
involved,"from in- ""in"" (see in- (2)) + volvere ""to roll"" (see vulva)",,
profound,"from pro- ""forth"" (see pro-) + fundus ""bottom"" (see fund (n.))",,
nitrogen,,,
paradox,"from para- ""contrary to"" (see para-(1)) + doxa ""opinion"" from dokein ""to appear, seem, think"" (see decent) => (两个)相反的观点 // 取反的方程等号 // = dichotomy // F congruity = uniformity",opposed to common sense,"n. 矛盾, 悖论"
rhetoric,"from root *were- ""to speak"" ",,
metabolic,"from meta- ""over"" (see meta-) + ballein ""to throw"" (see ballistics)",,
oxygen,,,
undermine,,,
zooplankton,"form of Gk. zoion ""animal"" (see zoo) + plankton",,
orbit,,,
habitat,,,
spiral,,,
genetic,,,
exploit,"explicit 表达清晰的 => 不藏着掖着 ""unfold""","1. notable act 
2. employ ","n. 英雄行为
vt. 最大程度地利用/剥削的"
fashion,"from facere ""to make"" (see factitious)",,
promise,,,
confine,"from com- ""with"" (see com-) + finis ""an end"" (see finish) => 给范围 // infinite 没有范围",keep within limits,v. 限制
mar,from PIE root *mers- // = blemish // F fix = repair,impair,"vt. 破坏, 削弱"
mount,see mountain,to increase in amount,
resolve,,to settle or solve,
compound,"composite 合成的 [from com- ""together"" (see com-) + ponere ""to place"" (see position)] // pound 英镑 // 常考 unalloyed = absolute / proponent / exponent","1. bring together
2. make worse","n. 混和物
adj. 混合的
v. 混合
v. 使恶化, 加重"
interstellar,inter + star,,
transcend,"from trans- ""beyond"" (see trans-) + scandere ""to climb"" (see scan (v.)) => 爬过去 // overpass / crescendo / condescending / descend / ascendant / = overcome",beyond the limits,"vt. 超越, 超过极限"
juvenile,young,,
incorporate,corporeal = body,"absorb, incorporate A into B",
simultaneous,"from L. simul ""at the same time"" (see similar) + -taneous","spontaneous, synchronous",
prominent,"from pro- ""before, forward"" (see pro-) + minere ""to project,"" from minae ""projections, threats"" (see menace)",conspicuous / renowned,
handedness,,,
plausible,"from pp. stem of plaudere ""to applaud"" plaudit 喝彩 / applaud // = believable = probable // F incredible = unlikely", reasonable,adj. 可信的
probe,prove + e / reprobate / approbation / disprove / probe,a penetrating 穿透的 investigation,v. /n. 深入调查/探针
symbiosis,,living together,n. 共生关系
vague,/ vag = wander / evasive / extravagant / pervade,"1. not clearly expressed
2. lacking definite shape","adj. 表达不清的
adj. 轮廓不清晰的"
canon,/,"1. a standard or criterion
2. the authentic works of a writer","n. 准则, 标准
n. 真经, 正典"
economy,"O.E. wic ""dwelling, village;"" see villa) + nomos ""managing,"" from nemein ""manage"" (see numismatics)",brevity / thrift / husbandry,
molecular,,relating to molecules,
resemble,"from re-, intensive prefix, + sembler ""to appear, to seem, be like,""",be similar to,
violate,,to break or disregard xxx,
considerable,"consider [from com- ""with"" (see com-) + sidus (gen. sideris) ""constellation"" (see sidereal 恒星的)] // important","1. sufficiently large in size
2. a school specializing in fine arts","adj. (数量上)可观(而值得注意)的
adj. 值得考虑的, 重要的"
hierarchy,"from ta hiera ""the sacred rites"" (neuter plural of hieros ""sacred;"" see ire) + arkhein ""to lead, rule"" (see archon)",ranking / grading,
photosynthesis,,,
pollinate,pollen + ate,,
justify,// warrant 批准 => 合理,prove to be just,"vt. 证明…的合理性, 为…辩解"
narrative,"from PIE *gne-ro-, suffixed form of root *gno- ""to know.""",rehearsal / account / chronicle,
ozone,"ozein ""to smell"" (see odor)",,
refrigerant,"from re- ""again"" (see re-) + frigerare ""make cool,"" from frigus (genitive frigoris) ""cold"" (see frigid)",,
renaissance,"from L. renasci ""be born again"" from re- ""again"" (see re-) + nasci ""be born"" (Old L. gnasci, see genus) => 再次+出生 // revitalization",becomes popular again,n. 复兴
consensus,pp. of consentire (see consent) // dissent 不同意 // assent 同意,general agreement,n. 一致同意
convey,"form of Latin com ""with, together"" (see con-) + via ""way, road"" (from PIE root *wegh- ""to go, move, transport in a vehicle"")",suggestion,
indigenous,"from Old L. indu ""in, within"" (earlier endo) + *gene-, root of gignere (perf. genui) ""beget"" from PIE *gen- ""produce"" (see genus) => 与生俱来 / ingenuous 天真淳朴的/坦白的","1. originating
2. innermost nature","adj. 土产的, 本地的
adj. 与生俱来的, 先天的"
render,"from red- ""back"" (see re-) + combining form of dare ""to give"" (from PIE root *do- ""to give"") ",to present or express,
discrete,"discreet 谨慎的 pp. of discernere ""distinguish"" (see discern [from dis- ""off, away"" (see dis-) + cernere ""distinguish, separate, sift"" (see crisis)])",separate,"adj. 离散的, 不连续的"
ethnic,,racial,
glucose,,,
kinship,kin + relationship,,
paradigm,"from para- ""beside"" + deiknynai ""to show"" (see diction 措词) / digm = dict // = model = archetype 原型/典型 // F anomaly = oddity",pattern,"n. 典范, 模范"
redundant,"from re- ""again"" (see re-) + undare ""rise in waves"" from unda ""a wave"" (see water) => 不断流出 / abundant / inundate // = superfluous",exceeding necessary,"adj. 多余的, 冗余的"
terrestrial,,earthly / mundane,
integrity,"from integer ""whole"" (see integer)","1. adherence moral
2. being whole","n. 正直
n. 完整性"
periphery,"from peri ""round about"" (see peri-) + pherein ""to carry,"" from PIE root *bher- (1) ""to carry."" Meaning ""outside boundary of a surface""",edge / boundary,
stereotype,sterile 贫瘠的,a conventional opinion,"n. 成见, 老套的理念"
adrenaline,ad + renal + ine,,
analogous,"analogy [from ana- ""upon, according to"" (see ana-) + logos ""ratio"" also ""word, speech, reckoning"" (see logos)] // analogy // analogy to // comparable",common,"adj. 相似的, 可比较的"
archaeology,,,
asteroid,,,
bronze,brass,,
fungus,"form of spongos ""sponge"" (see sponge (n.))",,
immune,"in- ""not, opposite of"" (see in- (1)) + munis ""performing services"" (cf. municipal) // 主要是不受影响","1. having resistance to infection 感染
2. not affected by influence","adj. 不易被感染的, 有免疫力的
adj. 不受影响的"
precipitate,"from praecipitare ""fall, be hasty"" from praeceps ""steep"" (see precipice 悬崖 [from prae ""before, forth"" (see pre-) + caput ""head"" (see head)]) => 头朝前","1. acting with careless speed
2. cause to happen","adj. 匆忙的
v. 促使, 导致"
spin,,whirl / turn,
wary,"from PIE root *wer- ""to cover"" (see weir 堰) // 形近词 awry 出差错 go awry / weary 疲惫/磨损 / = chary",caution,"adj. 小心的, 机警的, 谨慎的"
alienate,"from alius ""(an)other"" (see alias (adv.)) // = disgruntle 使不满 (grunt 咕哝) // F reconcile 调停 = unite","unfriendly, hostile, indifferent",v. 使…疏远
cluster,clot 凝块,small number of persons,n. 一群人
coherent,"form of com ""together"" (see co-) + haerere ""to adhere, stick"" (see hesitation)",,
conceal,"from com- intensive prefix (see com-) + celare ""to hide"" from PIE root *kel- ""to hide"" (see cell) ",prevent disclosure 揭露,"v. 隐藏, 隐瞒"
intact,"from in- ""not"" (see in- (1)) + tactus, past participle of tangere ""to touch,"" from PIE root *tag- ""to touch, handle.""",undamaged / unimpaired / complete,
larva,,,
repertoire,repertory 全部剧目,complete list,n. (技术、设备或原料等的)详单
permanent,"from per- ""through"" (see per) + manere ""stay"" (see mansion 庄园主宅地) => 一直在",continuing or enduring,adj. 永恒的
saint,see sacred,,
abound,"from Latin ab ""off, away from"" (see ab-) + undare ""rise in a wave,"" from unda ""a wave,"" from PIE *unda-, nasalized form of root *wed- (1) ""water; wet"".",teem / proflierate / overflow / swarm,
crystalline,"late 14c., ""made of or like crystal""",,
depict,"from de ""down"" (see de-) + pingere ""to paint"" (see paint (v.))",portray,
deplete,"from de- ""off, away"" (see de-) + plere ""to fill"" (see plenary) => fill away / implement / replenish / plebeian / complementary / deplete",make complete use of,"vt. 耗尽, 使衰竭"
epistemology,"from epi ""over, near"" (see epi-) + histasthai ""to stand,"" from PIE root *sta- ""to stand, make or be firm.""",,
external,,exterior / extraneous / peripheral,
aluminum,,,
converge,"from com- ""together"" (see com-) + vergere ""to bend"" (see verge (v.)) => 弯到一块",move toward one,"v. 汇集, 交汇于一点"
convert,"from com- ""together"" (see com-) + vertere ""to turn"" (see versus)",alter the physical nature,"v. 改变, 转化"
genuine,"(from PIE root *gene- ""give birth, beget"")",authentic / valid / sincere,
isotope,"from Greek isos ""equal"" (see iso-) + topos ""place"" (see topos)",,
measured,from pp. of measure (v.) // = caculated = thoughtful // F unstudied = unconsidered,calculated,adj. 深思熟虑的
nuance,// nuanced 微妙的 = subtle = indirect,subtle distinction,n. 细微的差异
oyster,,a large flat shellfish,
skeptical,"from skeptesthai ""to reflect, look, view"" (see scope (n.1))",suspicious,
temper,"usually described as from tempus ""time, season"" (see temporal)",modulate / disposition / temperament,
wilt,/,feel fatigue 疲劳 and exhaustion,"v. 精神萎靡, 憔悴"
buttress,"from P.Gmc. *butan, from PIE root *bhau- ""to strike"" (see butt (v.)) ",provide evidence or information for,vt. 为…提供支撑的证据或者信息
conspicuous,from com- intensive prefix (see com-) + specere (see scope (n. 1)) // = apparent,obvious,"adj. 显而易见的, 吸引人的"
induce,"from in- ""into, in, on, upon"" (see in- (2)) + ducere ""to lead"" (see duke 公爵 (n.)) // inducement 诱因",cause,"v. 引发, 导致"
irony,,satire / mockery,
pragmatic,/,a practical approach,"adj. 实用主义的, 务实的"
agrarian,see acre,agricultural,
assemble,"from ad- ""to"" (see ad-) + simulare ""to make like"" (see simulation)",gather,
deduce,"from de- ""down"" (see de-) + ducere ""to lead"" (see duke (n.))",infer,
dextral,,,
meet,"PIE *med- ""to measure"" (see medical (adj.))",very proper,adj. 合适的/遇见
predecessor,"from ""before"" (see pre-) + decessor ""retiring official"" [from stem of decedere ""go away"" also ""die"" (see decease 死)] => 前面走的人 // successor 在下面走的人 => 继任者 / precedent / recessive / secede / accessory / accessible / intercessor",a person who has previous occupied a position,"n. 前任, 先辈"
repudiate,"from re- ""back, away"" + pudium, probably related to pes-/ped- ""foot"" => 拔腿就走 // pudency 害羞 // disavow // 常考 / = recant = abnegation",declare not the be true,vt. 否认
spontaneous,/,without apparent thought,"adj. 自发的, 不经思索的"
subvert,"from sub ""under"" (see sub-) + vertere ""to turn"" (see versus) // subversive 颠覆性/破坏性",overturn,vt. 颠覆
susceptible,"from sub ""up from under"" + capere ""to take"" (see capable) // accept ac = to // vulnerable",likely to meet with harm,adj. 容易受伤害的
thermal,,,
anomalous,"""not"" (see an- (1)) + homalos ""even"" from homos ""same"" (see same) => 不一样 // = abnormal / anonymous 没名字(普通)",out of ordinary,"adj. 不普通的, 不平常的"
belie,"from be- + lie (v.1) ""to lie, tell lies"" // 常考 // 取反方程等号 // = mask","1. shut off from view
2. be counter to"," v. 掩饰 
 v. 与…相对立, 与…相矛盾"
heterogeneous,"from heteros ""different"" (see hetero-) + genos ""kind, gender, race stock"" (see genus)",,
indifferent,,lack of interest,"adj. 不感兴趣的, 冷漠的"
minute,"pp. [past participle 过去分词] of minuere ""to lessen, diminish"" (see minus 减)","1. carefully scrutiny 细看
2. of small important","adj. 仔细的, 谨小慎微的
adj. 小的, 不重要的"
peptide,,Two or more amino acids linked by the carboxyl group of one amino acid and the amino group of another,
spite,"shortened form of despit ""malice"" (see despite)",malice / malevolence / animosity / enmity,
dated,,passed its time of use,adj. 过时的
elusive,"elude: from ex- ""out, away"" (see ex-) + ludere ""to play"" (see ludicrous)",shunning / shirking / recondite / arcane / esoteric,
esteem,"""value, respect"" // = esteem",respect,n. /v. 尊重
oscillate,"from PIE *os- ""mouth"" (see oral) ",vary,"vt. 犹豫, 变化"
predominant,"from L. prae- ""before"" (see pre-) + dominari ""to rule"" (see dominate)",cardinal / chief / principal,
stem,"from PIE root *sta- ""to stand"" (see stet)","check / restrict / stem from = arise from, derive from",
stratosphere,structure + atmosphere,,
warble,whirl 急转/回旋,sing with melodic embellishments,v. 柔和地唱歌
acoustic,,"Of or relating to sound, the sense of hearing, or the science of sound.",
dwarf,,overshadow / surpass / outstrip / tiny,
inevitable,"evitabilis ""avoidable"" from evitare ""to avoid"" from ex- ""out"" (see ex-) + vitare ""shun 躲避"" originally ""go out of the way""",incapable avoided,"adj. 不可避免的, 必然的"
precursor,"from prae ""before"" (see pre-) + currere ""to run"" (see current) // = harbinger // F successor = sequela",one that precedes the approach of another,"n. 先驱者, 先导"
relief,see relieve,solace / mitigation / alleviation,
salient,"from PIE root *sel- ""to jump"" // insult // assail / desultory / resilience / exult / = visible = prominence",conspicuously,"adj. 显著的, 最突出的"
segregate,"from se ""apart from"" (see secret) + grege, ablative of grex ""herd, flock"" (see gregarious)",divide / detach,
superfluous,flow // redundant,exceeding sufficient,"adj. 多余的, 过剩的"
volcanic,,volcano,
brood,"from root *bhreue- ""to boil, bubble, effervesce, burn"" (see brew)","to think anxiously or gloomily about ponder xxx / The young of certain animals, especially a group of young birds or fowl hatched at one time and cared for by the same mother",
confound,"from com- ""together"" (see com-) + fundere ""to pour"" (see found (2)) => 一块找(找不到) // confuse / = flummox 使迷惑 / = mesmeric 着迷","1. throw into uncertainty
2. prove to be false","v. 使困惑
v. 证明为假, 证伪"
deceptive,"deceive: from de- ""from"" or pejorative + capere ""to take"" (see capable)",delusive,
exacerbate,"from ex- ""thoroughly"" (see ex-) + acerbus ""harsh, bitter"" from acer ""sharp, keen"" (see acrid) / = magnify",severe,"vt. 使加剧, 使恶化"
formidable,// = daunting 令人害怕的,requiring effort,adj. 艰难的
list,/,at an angle,v. (使)倾斜/目录/标价/倾听
parameter,"from Gk. para- ""beside, subsidiary"" (see para- (1)) + metron ""measure"" (see meter (n.2))",para / limit,
rear,,breed / nurse / nourish / hindmost / hind / posterior,
reconcile,"from re- ""again"" (see re-) + concilare ""make friendly"" (see conciliate 安抚 (see council 委员会)) => 重新友好",harmony,"vt. 使和解, 协调"
veil,,conceal / mask / cloak,
velocity,"from velox (gen. velocis) ""swift""",speed / swiftness,
antithesis,"from anti- ""against"" (see anti-) + tithenai ""to place,"" from PIE root *dhe- ""to put, to do"" (see factitious)",contrary / opposite,
contradict,"from contra ""against"" (see contra) + dicere ""to speak"" (see diction)",contrary,"vt. 否认, 反驳与…相矛盾"
extraordinary,"from extra ""out"" (see extra-) + ordinem (nom. ordo) ""order"" (see order)",exceptional / marvelous / singular,
