word,etymonline,emeaning,cmeaning
politic,"from polites ""citizen"" from polis ""city"" (see policy (n. 1)) => 政治的",suitably tactical,"adj. 合时宜的, 明智的"
novel,new // = unprecedented // F banal = hackneyed,new,adj. 新奇的
norm,,"a standard model, or pattern regarded as typical",
contain,"from com- ""together"" (see com-) + tenere ""to hold"" (see tenet)",,
protein,,,
notion,"from pp. stem of noscere ""come to know"" (see know)",,
contemporary,"from L. com- ""with"" (see com-) + temporarius ""of time,""",,
observant,"from ob ""over"" (see ob-) + servare ""to watch, keep safe"" from PIE root *ser- ""to protect"" => keep watching / serv- keep / conserve","1. paying close attentions
2. diligent in obseving a law","adj. 警惕的, 警觉的
adj. 严格遵守(规章、制度或原则)的"
aesthetic,"from root *au- ""to perceive"" (see audience)",,
affect,"from ad- ""to"" (see ad-) + facere (pp. factus) ""do"" (see factitious)",to put on a pretense of; to make a display of liking or using,
vent,"from L. ex- ""out"" + ventus ""wind"" (see wind (n.1))",,
composed,"from com- ""with"" (see com-) + poser ""to place,""",,
graze,,to eat grass that is growing in a field,
dioxide,,,
genre,"from Fr. genre ""kind, sort, style"" (see gender)",,
obscure,"from ob ""over"" (see ob-) + -scurus ""covered"" from PIE *(s)keu- ""to cover, conceal"" (see sky) => 天底下的 // = unfamous [infamous 臭名昭著] = anonymous = unknown // F legendary = prominent","1. not clearly veiled or uncertain meaning
2. famous","adj. 含义模糊的
adj. 平凡的, 不知名的"
underlie,,to form the basis or foundation of,
quantum,"from L. quantum ""how much,""",,
remnant,remain // remain // remainder,something left over,"n. 残余, 剩余物"
amendment,"from ex- ""out"" (see ex-) + menda ""fault, blemish,""",,
involved,"from in- ""in"" (see in- (2)) + volvere ""to roll"" (see vulva)",,
profound,"from pro- ""forth"" (see pro-) + fundus ""bottom"" (see fund (n.))",,
nitrogen,,,
paradox,"from para- ""contrary to"" (see para-(1)) + doxa ""opinion"" from dokein ""to appear, seem, think"" (see decent) => (两个)相反的观点 // 取反的方程等号 // = dichotomy // F congruity = uniformity",opposed to common sense,"n. 矛盾, 悖论"
rhetoric,"from root *were- ""to speak"" ",,
metabolic,"from meta- ""over"" (see meta-) + ballein ""to throw"" (see ballistics)",,
oxygen,,,
undermine,,,
zooplankton,"form of Gk. zoion ""animal"" (see zoo) + plankton",,
orbit,,,
habitat,,,
spiral,,,
genetic,,,
